; 8086 opcodes
; ------------

; $Id: opcodes.dat,v 1.1.1.1 1999/10/06 10:54:46 mg Exp $
; Original author: Marius Gedminas - http://gedmin.as/disasm

; Modified by Raphael Kubo da Costa for decompify (NASM syntax)
; http://github.com/rakuco/decompify

; opcode:1 [addr-mode:1] [address:1/2] [data:1/2]
; addr-mode present if r/m, r, mem, seg
; address present if addr-mode mod byte contains displacement
; data present if imm

; call/jump?

; syntax:
;   hex  opcode  arg1,arg2
; argX can be
;   r/m8
;   r/m16
;   r8
;   r16
;   seg
;   imm8
;   imm16
;   mem8
;   mem16
;   mem32
;   memoffs8
;   memoffs16
;   near
;   far
;   short
;   one of registers (AX, BX, ... Al, ... ES, ...)
;   constant (1, 3)

00	add	r/m8,r8
01	add	r/m16,r16
02	add	r8,r/m8
03	add	r16,r/m16
04	add	AL,imm8
05	add	AX,imm16
06	push	ES
07	pop	ES
08	or	r/m8,r8
09	or	r/m16,r16
0a	or	r8,r/m8
0b	or	r16,r/m16
0c	or	AL,imm8
0d	or	AX,imm16
0e	push	CS
;0f	pop	CS	; used for different purposes on later CPUs
10	adc	r/m8,r8
11	adc	r/m16,r16
12	adc	r8,r/m8
13	adc	r16,r/m16
14	adc	AL,imm8
15	adc	AX,imm16
16	push	SS
17	pop	SS
18	sbb	r/m8,r8
19	sbb	r/m16,r16
1a	sbb	r8,r/m8
1b	sbb	r16,r/m16
1c	sbb	AL,imm8
1d	sbb	AX,imm16
1e	push	DS
1f	pop	DS
20	and	r/m8,r8
21	and	r/m16,r16
22	and	r8,r/m8
23	and	r16,r/m16
24	and	AL,imm8
25	and	AX,imm16
26	seges		prefix ; XXX: does not exist in nasm
27	daa
28	sub	r/m8,r8
29	sub	r/m16,r16
2a	sub	r8,r/m8
2b	sub	r16,r/m16
2c	sub	AL,imm8
2d	sub	AX,imm16
2e	segcs		prefix
2f	das
30	xor	r/m8,r8
31	xor	r/m16,r16
32	xor	r8,r/m8
33	xor	r16,r/m16
34	xor	AL,imm8
35	xor	AX,imm16
36	segss		prefix
37	aaa
38	cmp	r/m8,r8
39	cmp	r/m16,r16
3a	cmp	r8,r/m8
3b	cmp	r16,r/m16
3c	cmp	AL,imm8
3d	cmp	AX,imm16
3e	segds		prefix
3f	aas
40	inc	AX
41	inc	CX
42	inc	DX
43	inc	BX
44	inc	SP
45	inc	BP
46	inc	SI
47	inc	DI
48	dec	AX
49	dec	CX
4a	dec	DX
4b	dec	BX
4c	dec	SP
4d	dec	BP
4e	dec	SI
